sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.1093;-0.2232;9.595;0.0014;0.15;9.8055;-0.1262;-0.3068;-0.2886;-0.014;-0.026;0.022;39.0;1.63;22.15;-34.65;355.43;-0.91;0.32;5.0;42.655;51.021397;4.477687;56.9;NaN;;14.038;;0 / 25;10;2021-02-17 16:06:32:814
0.8478;-0.0658;10.5635;0.5948;0.46;9.7778;0.1792;-0.1087;-0.309;0.1828;0.0125;0.1798;37.0;0.85;19.43;-32.21;352.31;-2.13;-3.09;5.0;57.305;51.021397;4.477687;56.9;NaN;;14.038;;0 / 25;509;2021-02-17 16:06:33:313
1.5541;0.1126;9.5292;2.1559;1.1065;9.5025;-0.5875;-0.4114;-0.6834;0.1359;-0.7028;-0.0607;37.0;-10.19;15.61;-35.02;5.73;-6.48;-12.78;5.0;34.039;51.021397;4.477687;56.9;NaN;;14.038;;0 / 25;1010;2021-02-17 16:06:33:814
4.22;1.0284;8.1172;6.0146;1.9898;7.4857;-0.7592;-0.6191;0.1569;0.8587;-1.0595;0.8522;23.0;-28.94;-0.43;-34.74;4.25;-11.71;-38.78;5.0;34.126;51.021397;4.477687;56.9;NaN;;14.038;;0 / 25;1510;2021-02-17 16:06:34:314
9.8883;2.2913;0.5396;9.5298;2.3115;0.1053;0.2996;0.2737;0.25;1.6866;-1.4918;-0.0171;19.0;-49.67;-20.35;-21.27;222.19;-12.21;-75.08;5.0;35.495;51.021397;4.477687;56.9;NaN;;14.038;;0 / 25;2009;2021-02-17 16:06:34:813
8.0717;1.2253;-4.0106;8.206;1.1843;-5.2373;0.7895;-0.1051;0.688;1.4557;-0.0184;-0.8094;30.0;-48.38;-26.5;11.26;217.98;-6.94;-122.55;5.0;35.588;51.021397;4.477687;56.9;NaN;;14.038;;0 / 25;2509;2021-02-17 16:06:35:313
8.4985;2.3787;-3.9909;8.7048;2.3557;-3.8532;0.1497;0.0166;-0.3158;-0.6725;0.1817;0.2338;39.0;-44.83;-27.22;11.94;210.4;-13.43;-116.31;5.0;52.805;51.021397;4.477687;56.9;NaN;;14.038;;0 / 25;3009;2021-02-17 16:06:35:813
7.7874;3.671;-1.2944;8.9894;3.893;-0.4542;-0.9685;-0.2799;-1.253;-1.6369;0.8644;-0.277;89.0;-46.14;-31.88;-8.32;222.4;-23.39;-92.89;5.0;44.199;51.021397;4.477687;56.9;NaN;;14.038;;0 / 25;3509;2021-02-17 16:06:36:313
7.8586;1.0984;4.4804;7.7118;0.8337;6.0003;-0.086;-0.1382;-0.9652;-0.9679;-0.3823;-0.4908;69.0;-34.23;-7.14;-33.17;240.1;-4.88;-52.11;5.0;41.502;51.021397;4.477687;56.9;NaN;;14.038;;0 / 25;4009;2021-02-17 16:06:36:813
8.6404;1.5671;3.4575;9.0988;1.5129;3.3307;-0.0999;0.1819;0.1311;-1.6916;-0.4038;-0.3624;16.0;-39.46;1.19;-35.17;293.58;-8.87;-69.89;5.0;43.012;51.021397;4.477687;56.9;NaN;;14.038;;0 / 25;4509;2021-02-17 16:06:37:313
8.8983;1.5898;4.751;9.4042;2.0979;1.8248;-0.7442;-0.4496;2.7419;0.6446;-0.5087;-0.2218;16.0;-34.9;8.18;-38.95;298.35;-9.87;-74.93;5.0;48.791;51.021397;4.477687;56.9;NaN;;14.038;;0 / 25;5010;2021-02-17 16:06:37:814
